date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:19:25	74687/74687	---M--	200	added ('OK')	image/jpeg	etag:%22123bf-5ee4b4e598200%22	https://dreamslms.dreamguystech.com/html/assets/img/profiles/avatar-05.jpg	C:/Users/lenovo%20pc/Desktop/INFISCH/dreamslms.dreamguystech.com/html/assets/img/profiles/avatar-05.jpg	(from https://dreamslms.dreamguystech.com/html/index-two.html)
15:19:28	42344/42344	---M--	200	added ('OK')	image/jpeg	etag:%22a568-5f28d72546f80%22	https://dreamslms.dreamguystech.com/html/assets/img/course/courses-06.jpg	C:/Users/lenovo%20pc/Desktop/INFISCH/dreamslms.dreamguystech.com/html/assets/img/course/courses-06.jpg	(from https://dreamslms.dreamguystech.com/html/index-two.html)
15:19:29	91074/91074	---M--	200	added ('OK')	image/jpeg	etag:%22163c2-5ee4b4e598200%22	https://dreamslms.dreamguystech.com/html/assets/img/profiles/avatar-06.jpg	C:/Users/lenovo%20pc/Desktop/INFISCH/dreamslms.dreamguystech.com/html/assets/img/profiles/avatar-06.jpg	(from https://dreamslms.dreamguystech.com/html/index-two.html)
15:19:31	386251/386251	---M--	200	added ('OK')	image/png	etag:%225e4cb-5f286f5be9280%22	https://dreamslms.dreamguystech.com/html/assets/img/skil-01.png	C:/Users/lenovo%20pc/Desktop/INFISCH/dreamslms.dreamguystech.com/html/assets/img/skil-01.png	(from https://dreamslms.dreamguystech.com/html/index-two.html)
15:19:31	206116/206116	---M--	200	added ('OK')	image/jpeg	etag:%2232524-5f286f5be9280%22	https://dreamslms.dreamguystech.com/html/assets/img/skills/skills-01.jpg	C:/Users/lenovo%20pc/Desktop/INFISCH/dreamslms.dreamguystech.com/html/assets/img/skills/skills-01.jpg	(from https://dreamslms.dreamguystech.com/html/index-two.html)
15:19:33	1238/1238	---M--	200	added ('OK')	image/png	etag:%224d6-5f286f5be9280%22	https://dreamslms.dreamguystech.com/html/assets/img/bg/skill-icon-01.png	C:/Users/lenovo%20pc/Desktop/INFISCH/dreamslms.dreamguystech.com/html/assets/img/bg/skill-icon-01.png	(from https://dreamslms.dreamguystech.com/html/index-two.html)
15:19:34	199760/199760	---M--	200	added ('OK')	image/jpeg	etag:%2230c50-5f286f5be9280%22	https://dreamslms.dreamguystech.com/html/assets/img/skills/skills-02.jpg	C:/Users/lenovo%20pc/Desktop/INFISCH/dreamslms.dreamguystech.com/html/assets/img/skills/skills-02.jpg	(from https://dreamslms.dreamguystech.com/html/index-two.html)
15:19:34	1962/1962	---M--	200	added ('OK')	image/png	etag:%227aa-5f286f5be9280%22	https://dreamslms.dreamguystech.com/html/assets/img/bg/skill-icon-02.png	C:/Users/lenovo%20pc/Desktop/INFISCH/dreamslms.dreamguystech.com/html/assets/img/bg/skill-icon-02.png	(from https://dreamslms.dreamguystech.com/html/index-two.html)
15:19:38	1443/1443	---M--	200	added ('OK')	image/png	etag:%225a3-5f286f5be9280%22	https://dreamslms.dreamguystech.com/html/assets/img/bg/skill-icon-03.png	C:/Users/lenovo%20pc/Desktop/INFISCH/dreamslms.dreamguystech.com/html/assets/img/bg/skill-icon-03.png	(from https://dreamslms.dreamguystech.com/html/index-two.html)
15:19:38	206116/206116	---M--	200	added ('OK')	image/jpeg	etag:%2232524-5f286f5be9280%22	https://dreamslms.dreamguystech.com/html/assets/img/skills/skills-03.jpg	C:/Users/lenovo%20pc/Desktop/INFISCH/dreamslms.dreamguystech.com/html/assets/img/skills/skills-03.jpg	(from https://dreamslms.dreamguystech.com/html/index-two.html)
